wgla,5,200,1000,0.5,-1.0,50500.67,20.10
wgla,5,200,1000,0.5,-1.0,52277.83,19.79
wgla,5,200,1000,0.5,-1.0,50315.17,20.44
wgla,5,250,1000,0.5,-1.0,55102.67,23.45
wgla,5,250,1000,0.5,-1.0,54178.00,24.15
wgla,5,250,1000,0.5,-1.0,55727.83,22.99
wgla,5,280,1000,0.5,-1.0,55522.67,27.30
wgla,5,280,1000,0.5,-1.0,58523.67,24.30
wgla,5,280,1000,0.5,-1.0,57589.50,24.87
wgla,5,300,1000,0.5,-1.0,56184.00,27.91
wgla,5,300,1000,0.5,-1.0,54319.00,28.37
wgla,5,280,1000,0.5,-1.0,56277.67,25.69
wgla,5,280,1000,0.5,-1.0,54035.33,26.83
wgla,5,285,1000,0.5,-1.0,54738.83,26.66
