target,numReplicas,numThreads,numOps,readsRatio,distribution,throughput,writeLatency, readLatency
wgla,3,2,1000,0.5,-1.0,2339.00,3.71,4.82
wgla,3,2,1000,0.5,-1.0,2126.25,3.87,5.52
wgla,3,2,1000,0.5,-1.0,2315.25,3.74,4.88
wgla,3,2,1000,0.5,-1.0,2348.00,3.68,4.84
wgla,3,2,1000,0.5,-1.0,2333.50,3.74,4.82
wgla,3,5,1000,0.5,-1.0,5468.75,3.95,5.19
wgla,3,5,1000,0.5,-1.0,5498.75,3.94,5.13
wgla,3,5,1000,0.5,-1.0,5486.00,3.91,5.20
wgla,3,5,1000,0.5,-1.0,5427.25,4.00,5.17
wgla,3,5,1000,0.5,-1.0,5498.75,3.94,5.19
wgla,3,10,1000,0.5,-1.0,10105.75,4.37,5.52
wgla,3,10,1000,0.5,-1.0,10264.50,4.27,5.47
wgla,3,10,1000,0.5,-1.0,10024.50,4.43,5.54
wgla,3,10,1000,0.5,-1.0,10066.50,4.41,5.53
wgla,3,10,1000,0.5,-1.0,8856.75,5.11,6.17
wgla,3,20,1000,0.5,-1.0,16498.25,5.40,6.71
wgla,3,20,1000,0.5,-1.0,16117.00,5.56,6.85
wgla,3,20,1000,0.5,-1.0,15791.50,5.63,7.04
wgla,3,20,1000,0.5,-1.0,15484.75,5.70,7.21
wgla,3,20,1000,0.5,-1.0,15856.50,5.65,6.95
wgla,3,30,1000,0.5,-1.0,20231.50,6.59,8.23
wgla,3,30,1000,0.5,-1.0,20115.25,6.61,8.33
wgla,3,30,1000,0.5,-1.0,19363.50,6.82,8.69
wgla,3,30,1000,0.5,-1.0,19337.75,6.91,8.62
wgla,3,30,1000,0.5,-1.0,20775.50,6.40,8.04
wgla,3,50,1000,0.5,-1.0,24988.25,8.78,11.22
wgla,3,50,1000,0.5,-1.0,25825.25,8.42,10.94
wgla,3,50,1000,0.5,-1.0,26793.25,8.14,10.54
wgla,3,50,1000,0.5,-1.0,25359.50,8.66,11.11
wgla,3,50,1000,0.5,-1.0,25580.00,8.58,11.00
wgla,3,70,1000,0.5,-1.0,28789.25,10.67,13.76
wgla,3,70,1000,0.5,-1.0,26665.25,11.33,15.00
wgla,3,70,1000,0.5,-1.0,26661.75,11.42,14.90
wgla,3,70,1000,0.5,-1.0,28429.25,10.63,14.07
wgla,3,70,1000,0.5,-1.0,28315.25,10.68,14.05
wgla,3,100,1000,0.5,-1.0,32436.50,13.19,17.74
wgla,3,100,1000,0.5,-1.0,31057.00,13.78,18.47
wgla,3,100,1000,0.5,-1.0,25473.50,20.18,25.37
wgla,3,100,1000,0.5,-1.0,27299.50,16.21,21.28
wgla,3,130,1000,0.5,-1.0,39671.75,13.99, 19.17
wgla,3,150,1000,0.5,-1.0,42790.50,14.74, 20.35
wgla,3,150,1000,0.5,-1.0,41140.50,15.26, 21.23
wgla,3,150,1000,0.5,-1.0,42488.50,14.76, 20.72
wgla,3,150,1000,0.5,-1.0,41485.25,15.15, 21.08
wgla,3,170,1000,0.5,-1.0,43246.75,16.61, 23.03
wgla,3,170,1000,0.5,-1.0,41365.75,17.37, 23.90
wgla,3,170,1000,0.5,-1.0,43048.00,16.61, 23.27
wgla,3,170,1000,0.5,-1.0,41373.00,17.32, 24.10
wgla,3,200,1000,0.5,-1.0,42590.75,20.24, 26.92
wgla,3,230,1000,0.5,-1.0,43929.50,23.08, 29.50
wgla,3,230,1000,0.5,-1.0,41000.00,24.87, 31.48
wgla,3,250,1000,0.5,-1.0,38080.00,29.56, 36.51
wgla,3,250,1000,0.5,-1.0,43534.50,25.51, 32.11
wgla,3,230,1000,0.5,-1.0,42409.00,24.18, 30.36
wgla,3,230,1000,0.5,-1.0,45663.75,21.98, 28.86
wgla,3,250,1000,0.5,-1.0,44918.75,24.80, 31.33
wgla,3,250,1000,0.5,-1.0,41894.00,26.62, 33.33
wgla,3,280,1000,0.5,-1.0,43256.25,29.53, 36.00
wgla,3,280,1000,0.5,-1.0,43567.25,29.99, 36.42
wgla,3,280,1000,0.5,-1.0,40514.50,32.16, 39.17
wgla,3,280,1000,0.5,-1.0,40582.25,31.41, 38.13
wgla,3,280,1000,0.5,-1.0,13444.75,94.29, 125.52
